tuple_id,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,aa,AA-3859-IAH-ORD,4:55 p.m.,7:16 a.m.,9:40 a.m.,7:55 p.m.
2,airtravelcenter,AA-1007-MIA-PHX,4:55 p.m.,7:58 p.m.,8:05 p.m.,10:30 p.m.
3,allegiantair,AA-1640-MIA-MCO,4:55 p.m.,6:30 p.m.,7:25 p.m.,7:55 p.m.
4,aa,AA-518-MIA-JFK,6:40 a.m.,6:54 a.m.,8:05 p.m.,7:55 p.m.
5,aa,AA-1007-MIA-PHX,4:55 p.m.,12:41 p.m.,2:45 p.m.,2:50 p.m.
6,aa,AA-204-LAX-MCO,11:25 p.m.,11:25 p.m.,6:55 a.m.,6:55 a.m.
7,aa,AA-3468-CVG-MIA,7:00 a.m.,5:08 p.m.,9:55 a.m.,7:55 p.m.
8,aa,AA-484-DFW-MIA,4:15 p.m.,4:29 p.m.,7:55 p.m.,7:39 p.m.
9,aa,AA-446-DFW-PHL,11:50 a.m.,12:12 p.m.,3:50 p.m.,4:09 p.m.
10,aa,AA-1007-MIA-PHX,4:55 p.m.,6:08 a.m.,9:20 a.m.,9:05 a.m.
11,aa,AA-1007-MIA-PHX,10:45 a.m.,10:55 a.m.,2:20 p.m.,7:55 p.m.
12,aa,AA-2957-DFW-CVG,7:55 a.m.,8:04 a.m.,11:05 a.m.,11:01 a.m.
13,aa,AA-1007-MIA-PHX,10:15 a.m.,5:08 p.m.,12:10 p.m.,11:56 a.m.
14,gofox,AA-1007-MIA-PHX,7:30 a.m.,8:04 a.m.,8:00 a.m.,8:06 a.m.
15,aa,AA-1279-DFW-PHX,1:00 p.m.,2:04 p.m.,2:35 p.m.,3:30 p.m.
16,myrateplan,AA-616-DFW-DTW,9:05 a.m.,10:10 a.m.,12:35 p.m.,7:55 p.m.
17,aa,AA-4344-ORD-DTW,4:55 p.m.,5:08 p.m.,2:00 p.m.,2:10 p.m.
18,aa,AA-2525-DFW-MIA,7:25 a.m.,7:39 a.m.,8:05 p.m.,11:06 a.m.
19,aa,AA-404-MIA-MCO,6:45 a.m.,6:57 a.m.,7:45 a.m.,7:40 a.m.
20,aa,AA-271-MIA-LAX,4:55 p.m.,5:08 p.m.,8:05 p.m.,2:27 p.m.
21,aa,AA-2050-ORD-MIA,10:40 a.m.,11:05 a.m.,2:45 p.m.,2:46 p.m.
22,aa,AA-1165-JFK-MIA,6:59 a.m.,3:36 p.m.,4:00 p.m.,3:33 p.m.
23,airtravelcenter,AA-1434-DFW-MCO,7:15 a.m.,7:22 a.m.,10:35 a.m.,10:36 a.m.
24,aa,AA-1165-JFK-MIA,6:59 a.m.,6:55 p.m.,10:34 a.m.,10:04 a.m.
25,aa,AA-3-JFK-LAX,12:00 p.m.,7:22 a.m.,3:15 p.m.,10:04 a.m.
26,businesstravellogue,AA-3842-MSP-ORD,6:00 a.m.,6:56 a.m.,10:34 a.m.,10:04 a.m.
