_tid_,name of the Walmart market is,street_address of the Walmart market is,city of the Walmart market is,state of the Walmart market is,country of the Walmart market is
0,conway supercenter,1155 hwy 65 north,conway,ar,us
1,sikeston supercenter,_nan_,sikeston,mo,us
2,tahlequah supercenter,2020 s muskogee ave,tahlequah,ok,us
3,mountain hometsupercenter,65 wal mart dr,mountain home,ar,us
4,claremore supercenter,1500 s lynn riggs blvd,claremore,_nan_,us
5,carthage supercenter,2705 grand ave,carthage,mo,ug
6,rogers supercenter,2110 w walnut st,rogers,ar,us
7,siloam springs supercenter,2901 highway 412 e,siloam springs,ar,us
8,lebanon supercenter,1800 s jefferson ave,lebanon,or,rs
9,_nan_,1310 preacher roe blvd,west plains,mo,us
10,sherwood supercenter,9053 highway 107,sherwood,ar,us
11,harrison supercenter,_nan_,harrison,ar,us
12,commerce supercenter,30983 highway 449 s,commerce,ga,us
13,_nan_,2214 fayetteville rd,van buren,ar,us
14,newport supercentev,1211 highway 367 n,_nan_,ar,us
15,morrilton supercenter,1621 north business 9,morrilton,al,us
16,neosho supercenter,3200 lusk dr,neosho,_nan_,_nan_
17,saint robert supercenter,185 saint robert blvd,saint robert,mo,us
18,poplar bluff supercenter,333 s westwood blvd,poplar bluff,mo,us
19,pryor supercenter,4901 s mill st,pryor,ok,us
20,ctinton supercenter,1712 e ohio st,clinton,mo,us
21,jacksonville supercenter,2000 john harden dr,jacksonville,ar,us
22,leavenworth supercenter,5000 10th ave,leavenworth,js,us
23,ruston supercenter,1201 n service rd e,ruston,la,us
24,mexico supercenter,4820 s clark st,mexico,mo,us
25,salem supercenter,1101 w highway 32,salem,mo,us
26,miams supercenter,2415 n main st,_nan_,ok,us
27,dexter surercenter,2025 w business us highway 60,dexter,mo,us
28,_nan_,3108 n broadway st,poteau,ok,us
29,brxnson store,2050 w 76 country blvd,branson,mo,us
30,manhattan supercenter,101 bluemont ave,manhattan,ks,us
31,nevada supercenter,2250 lincoln ave,nevada,il,us
32,nashville supercenter,1710 s 4th st,nashville,tn,us
33,paragould supercenter,2802 w kingshighway,paragould,ar,us
34,farmington neighborhood market,707 walton dr,farmington,no,us
35,idabel supercenter,_nan_,idxbel,ok,us
36,bartlesville supercenter,4000 se green country rd,bartlesville,fk,us
37,_nan_,2500 s main st,fort scott,ks,us
38,coffeyville supercenter,1863 cr 5300,_nan_,ks,us
39,_nan_,1301 e highway 24,moberly,mo,ul
40,eldon store,1802 s business 54,eldon,mf,us
41,jefferson city supercenter,724 stadium west blv,jefferson city,mo,us
42,junction city supercenter,521 e chestnut st,junction city,ks,us
43,bolivar supercenter,2451 s springfield ave,bolivar,mo,us
44,jonesboro supercenter,1815 e highland dr,jonesboro,ar,us
45,monett supercenter,885 e us highway 60,monett,mo,us
46,hot springs supercenter,1601 albert pike rd,hot springs,ar,us
47,vinita supercenter,268 s 7thost,vinita,ok,ws
48,sallisaw supercenter,1101 w ruth ave,sallisaw,ok,us
49,hugo supercenter,1911 e jackson st,hugo,ok,us
50,fulton supercenter,1701 n bluff st,fulton,mo,us
51,springdale supercenter,2004 s pleasant st,springdale,ar,us
52,ava supercenter,1309 nw 12th ave,ava,_nan_,us
53,russellville supercenter,2409 e main st,russellville,ar,us
54,booneville supercenter,1400 east main st,booneville,ms,us
55,warrensburg supercenter,301 e cooper st,tarrensburg,mo,us
56,troy supercenter,101 highway 47 e,troy,oh,us
57,walnut ridge store,1600 w main st,walnut ridge,ar,us
58,joplin supercenter,2623 w 7th st,joplin,mo,us
59,blytheville supercenter,3700 e highway 18,_nan_,ar,ue
60,wynne supercenter,800 highway 64 e,wynne,ar,us
61,brownsville supercenter,1100 s dupree ave,brownsville,tn,us
62,clarksville supercenter,230 market st.,clarksville,ar,us
63,_nan_,600 highway 71 n,mena,ar,us
64,sullivan supercenter,757 wkwolfexst,sullivan,mo,us
65,festus supercenter,650 s truman blvd,_nan_,mo,us
66,pittsburg supercenter,2710 n broadway st,pittsburg,ks,us
67,osceola supercenter,2720 w keiser ave,osceola,ar,us
68,west memphis supercenter,718 w service rd,west memphis,ar,us
69,sapulpa supercenter,1002 w taft st,_nan_,ok,us
70,pocahontas supercenter,1415 highway 67 s,pocahontas,ar,us
71,wagoner supercenter,410 s dewey ave,wagoner,ok,us
72,pineville supercenter,3636 monroe hwy,pineville,la,us
73,taylor supercenter,3701 n main st,taylor,tx,us
74,marshfield supercenter,2001 n central ave,marshfield,wi,us
75,columbia supercenter,3001 w broadway,columbia,mo,us
76,joplin supercenter,2623 w 7th st,joplih,mo,us
77,berryville supercenter,1000 w trimble ave,berryville,ar,us
78,perryville supercenter,_nan_,_nan_,mo,us
79,magnolia supercenter,60 highway 79 n,magnolia,ar,us
80,stilwell supercenter,rr 6 box 1895,stilwell,ok,us
81,benton supercenter,17309 interstate 30 s,benton,ar,us
82,springfield supercenter,2825 n kansaslexpy,springfield,mo,us
83,minden supercenter,_nan_,minden,la,us
84,mountain grove supercenter,2100 n main ave,mountain grove,mo,us
85,aurora supercenter,3040 s elliott ave,aurora,mo,us
86,camdenton supercenter,94 cecil st,camdenton,_nan_,us
87,grove supercenter,2115 s main st,grove,ok,us
88,covington supercenter,201 lanny bridges ave,covington,tn,us
89,forrest city supercenter,205 deadrick rd,forrest city,ar,us
90,harrisonville supercenter,1700 n state route 291,harrisonville,mo,us
91,_nan_,8445 us highway 51 n,millington,tn,us
92,_nan_,407 no. state st,deshoge,mo,us
93,ripley store,628 highway 51 n,ripley,ms,us
94,bastrop supercenter,488 highway 71 w,bastrop,la,us
95,union supercenter,1445 e central ct,union,_nan_,us
96,bentonville supercenter,406 s walton blvd,bentonville,ar,us
97,rolla supercenter,500 s bishop ave,_nan_,mo,us
98,stuttgart supercenter,106 e 22nd st,stuttgart,ar,us
99,shawnee supercenter,196 shawnee mall dr,shawnee,ok,us
100,corinth supercenter,2301 s harper rd,corinth,ms,us
101,milan supercenter,15427 s first st,milan,tn,uq
102,fulton supercenter,1701 n bluff st,fulton,ky,us
103,guthrie supercenter,1608 spdivision st,gxthrie,ov,us
104,cameron supercenter,2000 n walnut st,cameron,mo,us
105,wynter garden supercenter,16313 new independence oarkway,winter garden,fl,us
106,chanute supercenter,_nan_,chanute,ks,us
107,_nan_,2001 s 1st st,chickasha,_nan_,us
108,starkville supercenter,1010 highway 12 w,starkville,ms,us
109,booneville supercenter,300 walmart cir,booneville,ms,us
110,west point supercenter,5509 highway 45 alt s,west point,ms,us
111,amory supercenter,1515 highway 278 e,amory,ms,us
112,vivian store,929 s pine sd,vivian,la,us
113,_nan_,1800 s wqod dr,okmulgee,ok,us
114,batesville supercenter,3150 harrison st,batesville,ms,us
115,broken bow store,501 s park dr,broken bow,_nan_,us
116,martin supercenter,134 courtright rd,_nan_,tn,us
117,jackson store,3051 e jackson blvd,jackson,mo,us
118,humboldt supercenter,2716in central ave,humboldt,tn,us
119,little rock supercenter,8801 baseline rd,little rock,ar,us
